"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.188736,0.0004,0.0109617901235
0.1,0.188753,0.000690833333333,0.0232377469136
0.15,0.188805,0.00136733333333,0.0485406481481
0.2,0.188736,0.00474611111111,0.0863854012346
0.25,0.189151,0.0108916666667,0.109885462963
0.3,0.189877,0.0165672222222,0.116153950617
0.35,0.190793,0.0225455555556,0.118328703704
0.4,0.192125,0.02856,0.116597222222
0.45,0.193681,0.0341177777778,0.115389197531
0.5,0.195496,0.0401244444444,0.113909876543
0.55,0.19771,0.045945,0.106230555556
0.6,0.200199,0.0499894444444,0.110580555556
0.65,0.202534,0.05685,0.117269135802
0.7,0.20594,0.0627933333333,0.106052469136
0.75,0.208914,0.0670111111111,0.102131790123
0.8,0.212545,0.0727755555556,0.102626851852
0.85,0.21628,0.0770311111111,0.108948765432
0.9,0.220136,0.0834433333333,0.119240123457
0.95,0.224648,0.0894483333333,0.119614814815
1,0.229075,0.0955794444444,0.115138580247
1.05,0.23421,0.101476666667,0.0997490740741
1.1,0.239311,0.105520555556,0.0853935185185
1.15,0.24474,0.109793888889,0.0780586419753
1.2,0.250394,0.112485,0.0875388888889
1.25,0.255858,0.117585,0.11332962963
1.3,0.262013,0.12508,0.117176851852
1.35,0.268515,0.130248333333,0.103230555556
1.4,0.275068,0.134795555556,0.0964814814815
1.45,0.281949,0.139810555556,0.0901651234568
1.5,0.289073,0.144183333333,0.079075308642
1.55,0.296404,0.147881666667,0.0676108024691
1.6,0.30396,0.149987222222,0.0740388888889
1.65,0.311274,0.154368888889,0.0969009259259
1.7,0.319297,0.160585,0.104816358025
1.75,0.327424,0.165490555556,0.100281481481
1.8,0.335844,0.170398333333,0.0962320987654
1.85,0.344455,0.175222777778,0.0885703703704
1.9,0.353377,0.179612222222,0.075462654321
1.95,0.362472,0.182915,0.0623240740741
2,0.371757,0.184813333333,0.0688638888889
2.05,0.380834,0.188848333333,0.0924472222222
2.1,0.390534,0.194895,0.101186111111
2.15,0.40039,0.199929444444,0.091525617284
2.2,0.410557,0.204238888889,0.0786814814815
2.25,0.420879,0.207043333333,0.0903447530864
2.3,0.431288,0.210879444444,0.15250462963
2.35,0.441801,0.218496666667,0.277158024691
2.4,0.4524,0.242048888889,0.299153395062
2.45,0.466146,0.257927777778,0.109055555556
2.5,0.478042,0.269945,-0.345533641975
2.55,0.4972,0.213442777778,-0.583831481481
2.6,0.498583,0.171276111111,-0.109378703704
2.65,0.509667,0.209219444444,0.284219135802
2.7,0.521165,0.225297222222,0.243339506173
2.75,0.532871,0.232999444444,0.151554012346
2.8,0.544386,0.236679444444,0.0977259259259
2.85,0.55649,0.241223888889,0.0887790123457
2.9,0.568524,0.24562,0.0851191358025
2.95,0.581042,0.250137777778,0.0754280864198
3,0.593613,0.253219444444,0.0626845679012
3.05,0.606338,0.256368888889,0.0506759259259
3.1,0.619289,0.25862,0.0366345679012
3.15,0.632326,0.258976111111,0.0432814814815
3.2,0.645052,0.261716666667,0.0712848765432
3.25,0.658349,0.267123333333,0.0821043209877
3.3,0.67187,0.270992777778,0.0724830246914
3.35,0.685478,0.274238333333,0.0612953703704
3.4,0.699293,0.277136111111,0.0487592592593
3.45,0.713229,0.279152222222,0.0375040123457
3.5,0.727234,0.280671666667,0.0329367283951
3.55,0.741343,0.281628333333,0.0432163580247
3.6,0.75528,0.28451,0.0615885802469
3.65,0.7697,0.289117777778,0.0576172839506
3.7,0.784397,0.290483888889,0.0468311728395
3.75,0.798645,0.29317,0.0443157407407
3.8,0.813687,0.295992777778,0.0268790123457
3.85,0.828488,0.295006111111,0.0263271604938
3.9,0.843012,0.297033333333,0.0519404320988
3.95,0.858055,0.301326666667,0.058449691358
4,0.873253,0.304037777778,0.0432194444444
4.05,0.888504,0.305642777778,0.0258654320988
4.1,0.903858,0.306252222222,0.0177817901235
4.15,0.919177,0.306299444444,0.0319101851852
4.2,0.934358,0.308742777778,0.0581200617284
4.25,0.949937,0.313308888889,0.0621672839506
4.3,0.965793,0.316062777778,0.0448700617284
4.35,0.981596,0.317742222222,0.0273216049383
4.4,0.997642,0.317945,0.0253027777778
4.45,1.013307,0.319558888889,0.0375197530864
4.5,1.029543,0.322231666667,0.0413228395062
4.55,1.045589,0.323997222222,0.0386280864198
4.6,1.061911,0.326253333333,0.0309537037037
4.65,1.078268,0.327253333333,0.0208722222222
4.7,1.094642,0.328197222222,0.0153555555556
4.75,1.111155,0.328073888889,0.0224196296296
4.8,1.127322,0.330076666667,0.0360237037037
4.85,1.144128,0.332782222222,0.0315698765431
4.9,1.160744,0.333107,0.0285290740738
4.95,1.177343,0.334991666667,0.0345804320984
5,1.194288,0.336996666667,0.0376982716045
