"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.192228,-0.00563888888889,0.0408374074074
0.1,0.191864,-0.00359444444444,0.0379255555556
0.15,0.191761,-0.001266,0.0294664814815
0.2,0.19183,-0.000403888888889,0.0189040740741
0.25,0.191778,-0.000325555555556,0.0266424074074
0.3,0.191709,0.00134833333333,0.0525274074074
0.35,0.191813,0.00509611111111,0.0778734567901
0.4,0.192211,0.00950555555556,0.0963688271605
0.45,0.19273,0.01476,0.111638580247
0.5,0.193629,0.0210966666667,0.117424074074
0.55,0.194875,0.0269183333333,0.114490432099
0.6,0.196329,0.0325111111111,0.111619444444
0.65,0.198128,0.0380177777778,0.111572530864
0.7,0.20017,0.043085,0.12304382716
0.75,0.20235,0.049815,0.142909259259
0.8,0.205067,0.0580722222222,0.150447222222
0.85,0.208216,0.0655388888889,0.144825617284
0.9,0.211659,0.0722994444444,0.140898765432
0.95,0.215397,0.0796644444444,0.13545308642
1,0.219671,0.0861777777778,0.124154320988
1.05,0.224048,0.0919861111111,0.113527469136
1.1,0.228859,0.0976411111111,0.101884876543
1.15,0.233877,0.102096666667,0.0947404320988
1.2,0.239102,0.106182222222,0.105325308642
1.25,0.244397,0.112048888889,0.125640432099
1.3,0.250211,0.119652222222,0.129380246914
1.35,0.25644,0.125968333333,0.113982098765
1.4,0.262877,0.130948888889,0.0975064814815
1.45,0.269539,0.135406111111,0.0867395061728
1.5,0.276425,0.139608333333,0.0798182098765
1.55,0.283572,0.142752222222,0.0859617283951
1.6,0.290614,0.147496666667,0.104001234568
1.65,0.298227,0.153882777778,0.108820987654
1.7,0.306066,0.159255,0.0973691358025
1.75,0.314215,0.163493333333,0.0859910493827
1.8,0.322417,0.167437777778,0.0811842592593
1.85,0.33093,0.171698333333,0.0767490740741
1.9,0.339634,0.175188888889,0.073224691358
1.95,0.348476,0.178367777778,0.0814712962963
2,0.357387,0.18302,0.0947046296296
2.05,0.366731,0.188526111111,0.0957080246914
2.1,0.376299,0.193122777778,0.0856070987654
2.15,0.386076,0.19694,0.0758151234568
2.2,0.395973,0.200821666667,0.0645283950617
2.25,0.406234,0.203330555556,0.0562700617284
2.3,0.416304,0.205783888889,0.0625851851852
2.35,0.426773,0.209178888889,0.0792398148148
2.4,0.437224,0.213032222222,0.106312962963
2.45,0.447883,0.220326666667,0.119220987654
2.5,0.459268,0.22723,0.0870222222222
2.55,0.47081,0.230025555556,0.0341274691358
2.6,0.482385,0.230061666667,-0.00563086419753
2.65,0.493961,0.227440555556,-0.00311574074074
2.7,0.504983,0.227635,0.0410916666667
2.75,0.51649,0.232241111111,0.075187037037
2.8,0.528239,0.236815,0.0783583333333
2.85,0.54023,0.240525555556,0.0682827160494
2.9,0.552308,0.243523333333,0.0584385802469
2.95,0.564593,0.246260555556,0.0530864197531
3,0.576999,0.248110555556,0.0608216049383
3.05,0.589285,0.251928888889,0.074862345679
3.1,0.602124,0.256875555556,0.0672932098765
3.15,0.615153,0.258932777778,0.0531537037037
3.2,0.627975,0.261373888889,0.0511466049383
3.25,0.641229,0.264563333333,0.0433574074074
3.3,0.654587,0.265398888889,0.0433339506173
3.35,0.667685,0.267747777778,0.062237654321
3.4,0.681234,0.272248888889,0.0703820987654
3.45,0.69499,0.275648888889,0.0617052469136
3.5,0.708815,0.278495,0.0488043209877
3.55,0.722848,0.280852777778,0.0317009259259
3.6,0.737037,0.280938333333,0.0293398148148
3.65,0.750845,0.282692222222,0.0467978395062
3.7,0.765206,0.286190555556,0.0558762345679
3.75,0.779533,0.288818888889,0.0549774691358
3.8,0.794085,0.291562777778,0.0520466049383
3.85,0.808655,0.294416666667,0.0410092592593
3.9,0.82357,0.296374444444,0.0207345679012
3.95,0.838468,0.295444444444,0.0205867283951
4,0.852986,0.296825555556,0.0481688271605
4.05,0.867987,0.301102777778,0.0600759259259
4.1,0.883145,0.304500555556,0.0417564814815
4.15,0.898545,0.305817222222,0.0150367283951
4.2,0.913893,0.304317777778,0.0205635802469
4.25,0.928826,0.305699444444,0.0655691358025
4.3,0.944208,0.311746666667,0.0952657407407
4.35,0.960041,0.317438888889,0.0828916666667
4.4,0.976081,0.3208,0.0504305555555
4.45,0.99219,0.322193888889,0.020562962963
4.5,1.008334,0.322559444444,-0.000172839506168
4.55,1.024547,0.321241111111,-0.00163425925925
4.6,1.040362,0.321518333333,0.0124472222222
4.65,1.056592,0.323547777778,0.00861388888888
4.7,1.072857,0.323166666667,-0.00847623456791
4.75,1.088949,0.322017222222,-0.0131637037037
4.8,1.105059,0.320901111111,-0.000107777777802
4.85,1.120943,0.321610555556,0.0200288271604
4.9,1.137122,0.324025333333,0.0202468518516
4.95,1.153473,0.324437777778,0.00646777777744
5,1.169617,0.323838888889,-0.00413444444484
