"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.190235,-0.000208888888889,0.0101980864198
0.1,0.190218,6.63888888889E-005,0.0184727469136
0.15,0.190183,0.001151,0.0348026851852
0.2,0.190356,0.00241222222222,0.0728522530864
0.25,0.190304,0.00680944444444,0.142794166667
0.3,0.190754,0.0168555555556,0.209225987654
0.35,0.19188,0.0296316666667,0.24074537037
0.4,0.193802,0.0416638888889,0.25419537037
0.45,0.196001,0.0546027777778,0.270040740741
0.5,0.19917,0.0690988888889,0.276837654321
0.55,0.202962,0.0828911111111,0.272139506173
0.6,0.207481,0.0962355555556,0.266945061728
0.65,0.212572,0.109629444444,0.26076882716
0.7,0.218494,0.122205,0.255710185185
0.75,0.224763,0.135140555556,0.24906882716
0.8,0.231983,0.148009444444,0.226958024691
0.85,0.239706,0.158247777778,0.20097654321
0.9,0.247931,0.166464444444,0.205264506173
0.95,0.256191,0.177410555556,0.234216358025
1,0.265524,0.191057777778,0.243987654321
1.05,0.275411,0.203006666667,0.230809567901
1.1,0.28587,0.213982222222,0.216714814815
1.15,0.296813,0.224507222222,0.205634567901
1.2,0.308363,0.234311666667,0.199616049383
1.25,0.320224,0.244230555556,0.198650308642
1.3,0.332761,0.254563333333,0.193358333333
1.35,0.3458,0.263062222222,0.196765740741
1.4,0.358942,0.273622777778,0.209638888889
1.45,0.373106,0.285133888889,0.204046296296
1.5,0.3876,0.294245,0.19697654321
1.55,0.402474,0.303890555556,0.21613117284
1.6,0.418058,0.313761666667,0.280884876543
1.65,0.433781,0.328393333333,0.370740432099
1.7,0.449798,0.357230555556,0.309987962963
1.75,0.46952,0.381245,-0.103903395062
1.8,0.49191,0.338294444444,-0.345254012346
1.85,0.502282,0.312605555556,0.0106395061728
1.9,0.519788,0.344523888889,0.314550617284
1.95,0.537883,0.362811111111,0.302506790123
2,0.556497,0.375618333333,0.226991666667
2.05,0.575493,0.383614444444,0.16485308642
2.1,0.594956,0.38993,0.153732407407
2.15,0.614401,0.397742222222,0.169765123457
2.2,0.634609,0.407661111111,0.174530864198
2.25,0.655249,0.416251111111,0.158711111111
2.3,0.676288,0.423705555556,0.135788271605
2.35,0.697655,0.429863333333,0.11238117284
2.4,0.719335,0.434846666667,0.0939950617284
2.45,0.741239,0.438094444444,0.0969787037037
2.5,0.76297,0.444147222222,0.108390123457
2.55,0.785671,0.450037222222,0.10222962963
2.6,0.808095,0.454040555556,0.0993382716049
2.65,0.830952,0.459898888889,0.0943095679012
2.7,0.854138,0.464406666667,0.0739583333333
2.75,0.877479,0.46737,0.0554469135802
2.8,0.900977,0.468611111111,0.0627049382716
2.85,0.924214,0.472210555556,0.0964993827161
2.9,0.948024,0.47907,0.116507716049
2.95,0.972179,0.485212777778,0.110454938272
3,0.996594,0.490447222222,0.0942509259259
3.05,1.021269,0.494555555556,0.0770061728395
3.1,1.046065,0.498,0.063424691358
3.15,1.071086,0.500987222222,0.0516645061729
3.2,1.096264,0.502382777778,0.0553064814815
3.25,1.121216,0.505685555556,0.0728969135802
3.3,1.146739,0.510608333333,0.073087345679
3.35,1.172366,0.513997222222,0.0530179012346
3.4,1.198184,0.516154444444,0.0270614197531
3.45,1.224071,0.516424444444,0.00858641975309
3.5,1.249889,0.515683333333,0.0158302469136
3.55,1.275499,0.517326111111,0.0364182098765
3.6,1.301559,0.520317222222,0.0393138888889
3.65,1.327619,0.521888333333,0.0261265432099
3.7,1.353697,0.523610555556,-0.000539814814818
3.75,1.380138,0.522347777778,-0.0311172839506
3.8,1.406129,0.518006111111,-0.0160641975309
3.85,1.431617,0.519152777778,0.0269077160494
3.9,1.457903,0.522952777778,0.0313395061728
3.95,1.484101,0.523701111111,0.00862314814814
4,1.510317,0.523464444444,-0.00996296296297
4.05,1.536533,0.521448888889,-0.00311049382716
4.1,1.562317,0.522034444444,0.0319663580247
4.15,1.588723,0.524244444444,0.0743391975309
4.2,1.614645,0.528593888889,0.118149691358
4.25,1.641069,0.540692222222,0.072849691358
