"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.190575,-0.00262777777778,0.0665268518519
0.1,0.190385,-0.000291388888889,0.101553240741
0.15,0.190351,0.00463,0.161078981481
0.2,0.190592,0.0144455555556,0.239916820988
0.25,0.191524,0.0301605555556,0.290523611111
0.3,0.193595,0.0464927777778,0.282266049383
0.35,0.19639,0.059095,0.255172839506
0.4,0.19953,0.0708311111111,0.246453395062
0.45,0.20343,0.0831422222222,0.25082654321
0.5,0.20783,0.0957666666667,0.260725308642
0.55,0.212955,0.10953,0.265852469136
0.6,0.218856,0.122255555556,0.269619753086
0.65,0.225067,0.136637222222,0.268434567901
0.7,0.232539,0.150480555556,0.244744135802
0.75,0.240355,0.160351111111,0.234212345679
0.8,0.24843,0.172460555556,0.247727777778
0.85,0.257506,0.186029444444,0.247744135802
0.9,0.267152,0.197841111111,0.237243209877
0.95,0.277298,0.209360555556,0.231002160494
1,0.288065,0.220966666667,0.224779320988
1.05,0.299436,0.231890555556,0.218976234568
1.1,0.311272,0.242551111111,0.217395987654
1.15,0.323644,0.253732222222,0.213382716049
1.2,0.336654,0.264623333333,0.198376851852
1.25,0.350251,0.273128333333,0.191375308642
1.3,0.3639,0.282692222222,0.201654938272
1.35,0.378411,0.293980555556,0.199802469136
1.4,0.393388,0.303661666667,0.180775
1.45,0.408848,0.311926111111,0.164588271605
1.5,0.424636,0.319149444444,0.16752345679
1.55,0.440701,0.327641666667,0.189562654321
1.6,0.457265,0.338577777778,0.202039506173
1.65,0.474572,0.349334444444,0.185190740741
1.7,0.49231,0.357794444444,0.153001234568
1.75,0.510427,0.364427222222,0.125705555556
1.8,0.528855,0.369186111111,0.122539506173
1.85,0.547266,0.375383888889,0.144120679012
1.9,0.566247,0.384174444444,0.156934567901
1.95,0.585745,0.392155555556,0.149989506173
2,0.605519,0.399131666667,0.14063117284
2.05,0.625638,0.406127777778,0.132925617284
2.1,0.646171,0.412320555556,0.131747222222
2.15,0.666894,0.418331666667,0.15412345679
2.2,0.687962,0.426212222222,0.201404012346
2.25,0.709289,0.438223888889,0.241412037037
2.3,0.731444,0.455240555556,0.189658641975
2.35,0.755446,0.460865,0.0722447530864
2.4,0.77798,0.458007222222,0.0301135802469
2.45,0.80086,0.460562222222,0.0523197530864
2.5,0.823982,0.464337777778,0.0658561728395
2.55,0.847362,0.467861666667,0.0632299382716
2.6,0.87069,0.471451111111,0.0474466049383
2.65,0.894606,0.473379444444,0.0367089506173
2.7,0.918521,0.469349444444,0.130036419753
2.75,0.940659,0.481271111111,0.296974382716
2.8,0.965695,0.509100555556,0.2818
2.85,0.992699,0.517953888889,0.110238888889
2.9,1.018133,0.514521666667,0.0225302469136
2.95,1.043791,0.514957777778,0.0338490740741
3,1.0695,0.517929444444,0.0626734567901
3.05,1.095555,0.522303888889,0.0757685185185
3.1,1.121748,0.526308888889,0.0718651234568
3.15,1.148251,0.529289444444,0.0704219135802
3.2,1.174668,0.532495,0.0829043209877
3.25,1.201379,0.537748333333,0.0926348765432
3.3,1.228469,0.542680555556,0.0864055555556
3.35,1.255731,0.546286666667,0.0791410493827
3.4,1.283046,0.55039,0.0739398148148
3.45,1.310774,0.554289444444,0.0600780864198
3.5,1.338606,0.555940555556,0.0556919753086
3.55,1.366283,0.559035,0.0671675925926
3.6,1.394494,0.562621111111,0.0797407407407
3.65,1.422499,0.567128888889,0.0880067901235
3.7,1.451142,0.572648333333,0.0722666666667
3.75,1.47994,0.574854444444,0.0467898148148
3.8,1.508635,0.576649444444,0.0346830246914
3.85,1.537658,0.5775,0.039787037037
3.9,1.566318,0.579719444444,0.0614287037037
3.95,1.595478,0.584535,0.067149382716
4,1.624881,0.587593333333,0.0509459876543
4.05,1.654317,0.589279444444,0.0300398148148
